word,count
帳戶,79270
投資,68078
提供,66088
指示,63586
帳號,57386
匯款,49699
要求,47376
交易,46205
客服,45198
銀行,44444
報案,40937
詐騙,38173
操作,34463
平台,32241
加入,32149
損失,31211
需要,30774
透過,28592
台幣,28405
轉帳,28129
網站,27068
收到,25314
連結,24623
進行,24161
萬元,22995
無法,22543
獲利,21556
依照,21340
軟體,21081
廣告,20987
使用,20408
金融,18990
才能,18531
訊息,18151
方式,17543
聯絡,17343
按照,17094
貨幣,16934
電話,15873
臉書,15603
提領,15573
立刻,15386
指定,15245
資料,15139
派出所,14995
群組,14654
提醒,14552
賣家,14550
金額,14419
網址,14318
虛擬,14175
支付,13777
商品,13758
警方,13030
社群,12986
保證,12984
專員,12982
私訊,12780
網友,12735
資訊,12567
機會,12356
認證,12056
處理,11900
確認,11382
申請,11295
貸款,11229
問題,10960
面交,10860
專業,10855
通知,10723
社團,10471
付款,10444
資金,10147
點數,10113
只要,9963
公司,9827
抽獎,9424
前往,9379
一定,9306
趕緊,9284
投入,8908
集團,8389
見面,8352
配合,8252
遊戲,8193
演唱,8126
服務,7993
提款卡,7966
賣貨,7817
筆金額,7796
活動,7739
開通,7640
密碼,7480
流程,7475
郵局,7428
信用卡,7344
經驗,6936
協助,6892
必須,6842
下載,6696
